hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
Daios Luxury Living,http://www.tripadvisor.com/Hotel_Review-g189473-d634323-Reviews-Daios_Luxury_Living-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html,thessaloniki,610,4.5,2017/06/01,2017/06/02,,,,"Luxury,Breakfast included"
The Excelsior,http://www.tripadvisor.com/Hotel_Review-g189473-d1642872-Reviews-The_Excelsior-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html,thessaloniki,646,5,2017/06/01,2017/06/02,,,,"Luxury,Pets Allowed,Green"
The Met Hotel,http://www.tripadvisor.com/Hotel_Review-g189473-d1536409-Reviews-The_Met_Hotel-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html,thessaloniki,1371,4.5,2017/06/01,2017/06/02,,,,"Luxury,Pool,Breakfast included"
Electra Palace Thessaloniki,http://www.tripadvisor.com/Hotel_Review-g189473-d228914-Reviews-Electra_Palace_Thessaloniki-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html,thessaloniki,970,4.5,2017/06/01,2017/06/02,,,,"Luxury,Pool"
Domotel Les Lazaristes,http://www.tripadvisor.com/Hotel_Review-g189473-d575860-Reviews-Domotel_Les_Lazaristes-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html,thessaloniki,583,4.5,2017/06/01,2017/06/02,,,,"Free Parking,Mid-range,Pool"
Makedonia Palace,http://www.tripadvisor.com/Hotel_Review-g189473-d253419-Reviews-Makedonia_Palace-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html,thessaloniki,869,4.5,2017/06/01,2017/06/02,,,,"Luxury,Free Parking,Pool"
Anatolia Hotel,http://www.tripadvisor.com/Hotel_Review-g189473-d478738-Reviews-Anatolia_Hotel-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html,thessaloniki,445,4.5,2017/06/01,2017/06/02,,,,"Pets Allowed,Free Parking,Mid-range"
Grand Hotel Palace Thessaloniki,http://www.tripadvisor.com/Hotel_Review-g189473-d483551-Reviews-Grand_Hotel_Palace_Thessaloniki-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html,thessaloniki,492,4,2017/06/01,2017/06/02,,,,"Luxury,Free Parking,Pool"
The Bristol Hotel,http://www.tripadvisor.com/Hotel_Review-g189473-d320605-Reviews-The_Bristol_Hotel-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html,thessaloniki,242,4.5,2017/06/01,2017/06/02,,,,"Mid-range,Breakfast included"
Tourist Hotel,http://www.tripadvisor.com/Hotel_Review-g189473-d253415-Reviews-Tourist_Hotel-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html,thessaloniki,317,4,2017/06/01,2017/06/02,,,,"Pets Allowed,Mid-range,Breakfast included"
Hotel Orestias Kastorias,http://www.tripadvisor.com/Hotel_Review-g189473-d253411-Reviews-Hotel_Orestias_Kastorias-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html,thessaloniki,389,4.5,2017/06/01,2017/06/02,,,,Budget
City Hotel Thessaloniki,http://www.tripadvisor.com/Hotel_Review-g189473-d228894-Reviews-City_Hotel_Thessaloniki-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html,thessaloniki,620,4,2017/06/01,2017/06/02,,,,"Pets Allowed,Mid-range,Breakfast included"
Hotel Olympia,http://www.tripadvisor.com/Hotel_Review-g189473-d250718-Reviews-Hotel_Olympia-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html,thessaloniki,402,4,2017/06/01,2017/06/02,,,,"Pets Allowed,Free Parking,Mid-range"
Mediterranean Palace,http://www.tripadvisor.com/Hotel_Review-g189473-d228898-Reviews-Mediterranean_Palace-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html,thessaloniki,415,4,2017/06/01,2017/06/02,,,,"Luxury,Pool"
Hotel Astoria,http://www.tripadvisor.com/Hotel_Review-g189473-d253404-Reviews-Hotel_Astoria-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html,thessaloniki,590,4,2017/06/01,2017/06/02,,,,Mid-range
Porto Palace Hotel,http://www.tripadvisor.com/Hotel_Review-g189473-d630215-Reviews-Porto_Palace_Hotel-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html,thessaloniki,427,4,2017/06/01,2017/06/02,,,,"Pets Allowed,Free Parking,Mid-range"
Blue Bottle Boutique Hotel,http://www.tripadvisor.com/Hotel_Review-g189473-d10417497-Reviews-Blue_Bottle_Boutique_Hotel-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html,thessaloniki,133,4.5,2017/06/01,2017/06/02,,,,"Budget,Free Parking,Breakfast included"
Colors Urban Hotel,http://www.tripadvisor.com/Hotel_Review-g189473-d11774162-Reviews-Colors_Urban_Hotel-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html,thessaloniki,66,4.5,2017/06/01,2017/06/02,,,,"Luxury,Pets Allowed"
Le Palace Art Hotel,http://www.tripadvisor.com/Hotel_Review-g189473-d253421-Reviews-Le_Palace_Art_Hotel-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html,thessaloniki,449,4,2017/06/01,2017/06/02,,,,"Pets Allowed,Mid-range,Green"
Capsis Hotel Thessaloniki,http://www.tripadvisor.com/Hotel_Review-g189473-d228862-Reviews-Capsis_Hotel_Thessaloniki-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html,thessaloniki,879,4,2017/06/01,2017/06/02,,,,"Mid-range,Pool,Breakfast included"
Zaliki Boutique Hotel,http://www.tripadvisor.com/Hotel_Review-g189473-d655791-Reviews-Zaliki_Boutique_Hotel-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html,thessaloniki,377,4,2017/06/01,2017/06/02,,,,"Pets Allowed,Free Parking,Mid-range"
Park Hotel,http://www.tripadvisor.com/Hotel_Review-g189473-d632855-Reviews-Park_Hotel-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html,thessaloniki,252,4,2017/06/01,2017/06/02,,,,"Mid-range,Breakfast included"
Hotel El Greco Superior,http://www.tripadvisor.com/Hotel_Review-g189473-d506002-Reviews-Hotel_El_Greco_Superior-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html,thessaloniki,489,3.5,2017/06/01,2017/06/02,,,,"Mid-range,Breakfast included"
A.D. Imperial Palace Hotel Thessaloniki,http://www.tripadvisor.com/Hotel_Review-g189473-d536443-Reviews-A_D_Imperial_Palace_Hotel_Thessaloniki-Thessaloniki_Thessaloniki_Region_Central_Macedon.html,thessaloniki,139,4,2017/06/01,2017/06/02,,,,"Pets Allowed,Mid-range,Green"
Plaza Hotel,http://www.tripadvisor.com/Hotel_Review-g189473-d472082-Reviews-Plaza_Hotel-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html,thessaloniki,425,4,2017/06/01,2017/06/02,,,,"Mid-range,Breakfast included"
Diamond Suites,http://www.tripadvisor.com/Hotel_Review-g189473-d7621652-Reviews-Diamond_Suites-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html,thessaloniki,102,4,2017/06/01,2017/06/02,,,,"Mid-range,Breakfast included"
Egnatia Hotel,http://www.tripadvisor.com/Hotel_Review-g189473-d233056-Reviews-Egnatia_Hotel-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html,thessaloniki,160,4,2017/06/01,2017/06/02,,,,Mid-range
Hotel Esperia,http://www.tripadvisor.com/Hotel_Review-g189473-d1400591-Reviews-Hotel_Esperia-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html,thessaloniki,81,4,2017/06/01,2017/06/02,,,,Budget
Davitel Tobacco Hotel,http://www.tripadvisor.com/Hotel_Review-g189473-d556865-Reviews-Davitel_Tobacco_Hotel-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html,thessaloniki,192,3.5,2017/06/01,2017/06/02,,,,"Free Parking,Mid-range"
Aegeon Hotel,http://www.tripadvisor.com/Hotel_Review-g189473-d233057-Reviews-Aegeon_Hotel-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html,thessaloniki,177,3.5,2017/06/01,2017/06/02,,,,"Budget,Breakfast included"
